title,genre,mood,artist
Electric Soul 0,Pop,Calm,Billie
Velvet Night 1,Classical,Dark,DuaLipa
Crystal Rain 2,Indie,Sad,DuaLipa
Silent Waves 3,Jazz,Sad,BTS
Golden Sky 4,EDM,Dark,DuaLipa
Ocean Heart 5,KPop,Dreamy,Taylor
Golden Sky 6,KPop,Calm,DuaLipa
Ocean Heart 7,Jazz,Sad,Weeknd
Ocean Heart 8,Indie,Dreamy,Taylor
Moonlight Echo 9,LoFi,Dark,Taylor
Neon Dreams 10,Classical,Energetic,DuaLipa
Silent Waves 11,Jazz,Dark,Olivia
Velvet Night 12,HipHop,Romantic,Ariana
Neon Dreams 13,Pop,Romantic,Weeknd
Golden Sky 14,Jazz,Calm,Shawn
Silent Waves 15,HipHop,Romantic,Taylor
Golden Sky 16,Pop,Sad,DuaLipa
Burning Stars 17,HipHop,Romantic,BTS
Moonlight Echo 18,Pop,Happy,DuaLipa
Electric Soul 19,Pop,Energetic,Drake
Golden Sky 20,Romantic,Happy,BTS
Dark Paradise 21,HipHop,Calm,BTS
Ocean Heart 22,EDM,Sad,Weeknd
Crystal Rain 23,Jazz,Calm,Olivia
Silent Waves 24,Jazz,Romantic,DuaLipa
Ocean Heart 25,Romantic,Dark,Taylor
Silent Waves 26,Rock,Calm,BTS
Dark Paradise 27,Pop,Happy,DuaLipa
Crystal Rain 28,Rock,Calm,Ariana
Moonlight Echo 29,Romantic,Romantic,Weeknd
Electric Soul 30,Jazz,Romantic,Shawn
Ocean Heart 31,Rock,Calm,Weeknd
Dark Paradise 32,LoFi,Dark,Weeknd
Crystal Rain 33,LoFi,Dreamy,Taylor
Ocean Heart 34,Classical,Sad,DuaLipa
Neon Dreams 35,Indie,Happy,Olivia
Neon Dreams 36,Pop,Energetic,DuaLipa
Ocean Heart 37,Indie,Romantic,Billie
Neon Dreams 38,LoFi,Calm,Billie
Ocean Heart 39,Indie,Romantic,Billie
Golden Sky 40,EDM,Calm,DuaLipa
Burning Stars 41,Pop,Calm,DuaLipa
Velvet Night 42,Indie,Calm,BTS
Dark Paradise 43,Romantic,Romantic,Drake
Dark Paradise 44,EDM,Happy,Billie
Crystal Rain 45,Rock,Happy,Taylor
Ocean Heart 46,LoFi,Romantic,Drake
Velvet Night 47,Classical,Energetic,BTS
Electric Soul 48,Indie,Romantic,Drake
Silent Waves 49,Jazz,Sad,Billie
Electric Soul 50,EDM,Dreamy,Ariana
Ocean Heart 51,HipHop,Dreamy,Billie
Moonlight Echo 52,Indie,Dreamy,Ariana
Velvet Night 53,KPop,Happy,DuaLipa
Ocean Heart 54,Indie,Happy,Drake
Golden Sky 55,Jazz,Sad,ImagineDragons
Silent Waves 56,Indie,Energetic,Taylor
Crystal Rain 57,Jazz,Sad,Billie
Golden Sky 58,HipHop,Happy,Weeknd
Burning Stars 59,KPop,Romantic,Shawn
Ocean Heart 60,LoFi,Energetic,ImagineDragons
Moonlight Echo 61,Indie,Sad,Drake
Electric Soul 62,HipHop,Dark,Shawn
Ocean Heart 63,Indie,Happy,BTS
Moonlight Echo 64,HipHop,Romantic,BTS
Crystal Rain 65,EDM,Energetic,Weeknd
Electric Soul 66,HipHop,Dark,Taylor
Ocean Heart 67,Jazz,Dreamy,Taylor
Neon Dreams 68,Classical,Energetic,Shawn
Crystal Rain 69,EDM,Dark,Shawn
Ocean Heart 70,Romantic,Calm,ImagineDragons
Burning Stars 71,HipHop,Happy,DuaLipa
Dark Paradise 72,EDM,Calm,BTS
Moonlight Echo 73,HipHop,Romantic,Drake
Burning Stars 74,Romantic,Calm,Weeknd
Ocean Heart 75,EDM,Dark,ImagineDragons
Neon Dreams 76,Romantic,Energetic,Taylor
Dark Paradise 77,Romantic,Happy,ImagineDragons
Velvet Night 78,HipHop,Happy,DuaLipa
Crystal Rain 79,EDM,Happy,Ariana
Golden Sky 80,Jazz,Sad,Billie
Velvet Night 81,Rock,Romantic,Shawn
Crystal Rain 82,HipHop,Romantic,BTS
Velvet Night 83,KPop,Sad,Olivia
Burning Stars 84,Classical,Energetic,Drake
Neon Dreams 85,EDM,Dreamy,BTS
Crystal Rain 86,Rock,Happy,Taylor
Burning Stars 87,KPop,Sad,Billie
Silent Waves 88,LoFi,Happy,Drake
Electric Soul 89,Rock,Dreamy,BTS
Ocean Heart 90,Indie,Dark,Olivia
Crystal Rain 91,KPop,Happy,Olivia
Golden Sky 92,Pop,Calm,DuaLipa
Electric Soul 93,LoFi,Romantic,DuaLipa
Moonlight Echo 94,Rock,Sad,Shawn
Crystal Rain 95,Classical,Calm,Olivia
Silent Waves 96,Rock,Calm,Billie
Moonlight Echo 97,EDM,Calm,Olivia
Burning Stars 98,Indie,Energetic,Ariana
Golden Sky 99,HipHop,Dark,BTS
